"","P_5","P_7","P_8","P_9","P_10","P_18","P_19","P_22","P_23","P_25","P_31","P_37","P_42","P_43","P_47","P_50"
"TNFRSF14",9.22759788014972,10.5590449920035,9.87646751450839,10.5890646521563,9.78736994325001,10.7691743970548,11.1393612042467,9.30071649675201,9.65921861686506,10.9492712622691,11.0493200751565,10.9892911945367,10.6390965235162,10.7091393267376,10.7091393267376,11.0693294380585
"CD1D",5.96815965804673,3.77648368657304,2.95293398890745,3.5770219640107,-9.96578428466209,5.42892630109057,4.33951102121489,4.34580644571623,4.67256457867309,5.49028850595787,6.68102195569067,3.50970907130412,6.53958988804214,4.6684076619602,6.12245998882258,2.84748678045198
"CD1A",4.30381236837608,7.60963959128119,7.87688155354292,5.69341373188443,8.12785675778314,5.58733033671949,4.92946277418764,2.56260058792275,2.8132730654608,6.85560833072102,4.10350364645329,5.26397104011663,4.09715418839918,2.04157323785981,6.33121001867519,-9.96578428466209
"CD1C",5.24652637872354,7.72118594814842,7.82264768598011,5.65569001486813,7.86985173101677,7.17908879819948,3.12788550635151,1.81043360814082,5.40027049748614,6.2056025500451,5.51277364530463,4.76286809396318,5.25165772009682,3.88457734910902,6.71938704499177,-0.231519843561135
"CD1B",4.30381236837608,6.4890434354272,7.04815071182275,3.21453683179015,6.61941520203686,5.6454911449479,3.01937317602162,0.141885041131139,4.81467524014713,5.36955324086417,3.44214192685578,3.99003446153611,5.46268267822075,2.79040782633565,3.60842330298104,-9.96578428466209
"CD1E",4.92946277418764,6.3433582825567,7.29887599752692,5.08000771302422,6.27956577912637,6.49207676529126,2.77093638015271,4.65177545342951,4.85917834732137,4.11408267019049,4.42020622860539,4.35000268047082,5.36033506857633,2.79040782633565,5.48619948350577,3.37430730842654
"F11R",9.62617737412033,10.6891273085521,10.5190181339357,9.23160453654045,10.9692812975162,9.32675731276066,8.78774256667104,9.31173385501648,8.35059142939655,9.08635102996688,9.46295921031046,11.0193057850524,9.18151998805552,8.47896624447553,9.88948126881089,8.5601867703069
"FCER1G",9.71528647894822,9.79938345301646,9.31273542647725,9.75433220605299,9.01822306099774,9.49800815822808,9.26766361946033,9.77435518015906,9.89048232170409,10.9292610868639,10.2087826737575,10.2588241572612,10.8492189440781,9.16248708213509,11.4194739141049,10.2988563234907
"IFNAR2",10.2287994400228,9.73030421290569,8.98014887247448,9.23561117447072,9.4729733169807,9.62217231050965,10.1387221255225,9.76234143397554,10.0186112358924,9.89148337386696,9.59914292036638,10.0186112358924,10.4389621297146,8.46292119605743,10.2087826737575,9.15747835028738
"IFNGR2",10.5790581441735,11.3094322250443,11.4194739141049,10.5790581441735,11.0093009552355,11.0493200751565,10.6991333384832,11.1793786759122,10.6290902373585,10.5590449920035,11.0593247728397,11.3394439119362,11.6695576290908,9.99458792842379,11.3394439119362,10.1086952625181
